id_salarie,code_postal_domicile,mode_transport,trajet_actuel_min,score_competence,adresse_actuelle_locaux
EMP001,75011,transit,25,5,"10 rue de Rivoli, 75001 Paris"
EMP002,92100,driving,20,4,"10 rue de Rivoli, 75001 Paris"
EMP003,94300,transit,45,5,"10 rue de Rivoli, 75001 Paris"
EMP004,78000,driving,55,3,"10 rue de Rivoli, 75001 Paris"
EMP005,75019,transit,30,4,"10 rue de Rivoli, 75001 Paris"
EMP006,93200,transit,35,2,"10 rue de Rivoli, 75001 Paris"
EMP007,91300,driving,40,5,"10 rue de Rivoli, 75001 Paris"
EMP008,92200,transit,15,3,"10 rue de Rivoli, 75001 Paris"
EMP009,77000,driving,65,4,"10 rue de Rivoli, 75001 Paris"
EMP010,75014,bicycling,20,2,"10 rue de Rivoli, 75001 Paris"
